,countryname,year,general government final consumption expenditure (Current $USD)
1566,China,2012,1344344845037.47
1567,Germany,2012,679923013042.969
1568,"Egypt, Arab Rep",2012,31200000000.0
1569,Spain,2012,264649764153.516
1570,France,2012,642752791976.953
1571,United Kingdom,2012,562787607035.431
1572,Indonesia,2012,84891845511.3152
1573,India,2012,195262201308.237
1574,"Iran, Islamic Rep",2012,85836409799.2937
1575,Italy,2012,413385894330.469
1576,Japan,2012,1251796339273.82
1577,"Korea, Rep",2012,187748142251.002
1578,Mexico,2012,143491025627.397
1579,Malaysia,2012,43525641025.641
1580,Netherlands,2012,218343410841.797
1581,Philippines,2012,28266846742.0339
1582,Russian Federation,2012,396769758558.745
1583,Saudi Arabia,2012,146980941226.027
1584,Singapore,2012,26138433223.9738
1585,Thailand,2012,65012627440.6349
1586,Turkey,2012,124388475779.51
1587,United States,2012,2515439000000.0
1588,Vietnam,2012,20429808911.0812
1589,South Africa,2012,81756551200.38
1590,United Arab Emirates,2013,42851083185.8407
1591,Argentina,2013,92774657769.3512
1592,Australia,2013,295898225094.901
1593,Brazil,2013,467174528175.873
1594,Canada,2013,382325710984.663
1595,Switzerland,2013,80599621374.5016
1596,China,2013,1520164847101.26
1597,Germany,2013,732980377134.904
1598,"Egypt, Arab Rep",2013,32744186046.5116
1599,Spain,2013,269848351325.883
1600,France,2013,677990977839.218
1601,United Kingdom,2013,561025663546.284
1602,Indonesia,2013,86851491925.0873
1603,India,2013,191152515788.76
1604,"Iran, Islamic Rep",2013,63932402314.714
1605,Italy,2013,424255354565.099
1606,Japan,2013,1034874929709.26
1607,"Korea, Rep",2013,205297716250.283
1608,Mexico,2013,155372292279.987
1609,Malaysia,2013,44338760354.1845
1610,Netherlands,2013,226213033147.452
1611,Philippines,2013,30709630412.1453
1612,Russian Federation,2013,428126305473.803
1613,Saudi Arabia,2013,167605866666.667
1614,Singapore,2013,29970910253.3365
1615,Thailand,2013,68781162533.3594
1616,Turkey,2013,134265708582.834
1617,United States,2013,2532646000000.0
1618,Vietnam,2013,23328810915.0381
1619,South Africa,2013,76494561791.4655
1620,United Arab Emirates,2014,44070401007.4881
1621,Argentina,2014,89210530677.4557
1622,Australia,2014,274271550537.042
1623,Brazil,2014,470409689630.259
1624,Canada,2014,365963384878.333
1625,Switzerland,2014,83418429992.0813
1626,China,2014,1656943445134.62
1627,Germany,2014,761835417268.625
1628,"Egypt, Arab Rep",2014,36212338593.9742
1629,Spain,2014,269862349819.999
1630,France,2014,689026931784.311
1631,United Kingdom,2014,609376248287.116
1632,Indonesia,2014,83959519785.6948
1633,India,2014,212902376803.132
1634,"Iran, Islamic Rep",2014,59021653891.594
1635,Italy,2014,422435350895.293
1636,Japan,2014,975783790301.09
1637,"Korea, Rep",2014,225990749133.301
1638,Mexico,2014,160406576791.424
1639,Malaysia,2014,45059427419.1084
1640,Netherlands,2014,229119887766.666
1641,Philippines,2014,31417719426.875
