,countryname,year,exchange rate (to $USD),import (thousand $USD),export (thousand $USD),countrycode,GDP(current $USD),general government final consumption expenditure (Current $USD)
289,Malaysia,2001,3.8,6203975.945,3221098.347,MYS,92783947368.4211,11170526315.7895
290,Netherlands,2001,1.116533,1456696.166,7278426.893,NLD,431586852369.686,90601883007.8741
291,Philippines,2001,50.992649,1945208.047,1619111.816,PHL,78921234457.5487,8477518726.24655
292,Russian Federation,2001,29.168526,7958794.51,2710471.97,RUS,306602070620.5,50390812478.5739
293,Saudi Arabia,2001,3.75,2715895.298,1354114.676,SAU,184137469733.333,50318666666.6667
294,Singapore,2001,1.7917225,5128281.291,5790711.209,SGP,89794943349.8912,10425126974.3819
295,Thailand,2001,44.4319,4713848.161,2337109.453,THA,120296476180.402,16209345087.651
296,Turkey,2001,1.2255881,230937.591,674006.603,TUR,201751148417.102,25513291122.7154
297,United States,2001,1.0,26217375.157,54355080.203,USA,10581929774000.0,1538151000000.0
298,Vietnam,2001,14725.167,1010785.663,1797775.199,VNM,32685198735.3053,2068771146.74702
299,South Africa,2001,8.6091805,1173201.416,1048574.038,ZAF,135429607036.658,22510907784.6954
300,United Arab Emirates,2002,3.6724999,445360.971,3450903.775,ARE,109816201497.617,11142485827.0933
301,Argentina,2002,3.0632567,1239463.842,185369.034,ARG,97724004251.8602,11956773588.4449
302,Australia,2002,1.8405625,5850571.701,4585039.229,AUS,395580786940.142,72352971954.7928
303,Brazil,2002,2.9203629,3003019.897,1466382.34,BRA,509788814956.855,100987442918.778
304,Canada,2002,1.5703428,3626878.469,4303458.155,CAN,760649334098.005,150446695979.099
305,Switzerland,2002,1.5586075,2041393.401,638149.764,CHE,309301422430.386,35702346336.4558
